include raids
reconnaissance search
have training
specialized training
swimming emergency
diving emergency
parachuting emergency
include reconnaissance
conducting reconnaissance
collecting intelligence
recruiting training
equipping forces
conducting raids
laying explosives
detonating explosives
locating defusing
identifying defusing
