prepares opinions,1
makes reports,1
involving prosecution,1
prosecutes appeals,1
relative violation,1
involved purchase,1
regarding city,1
checks specifications,1
exercising discretion,1
develop trademark,1
relating use,1
mark use,1
manage trademark,1
enforcement anti,1
counterfeiting matters,1
review style,1
proposed marketing,1
third_party use,1
make recommendations,2
regarding strategy,1
world_wide administrative_support,1
will investment,1
report investment,1
provide department,1
tries cases,3
handles litigation,5
demonstrates research,2
writing skills,9
takes leadership,2
working claim,2
achieve results,3
provides leadership,3
mentoring attorneys,2
provides training,4
initiates projects,2
support office,2
proven track,3
job_specific skills,1
include forms,2
drafting forms,1
relating television,1
resolving disputes,1
basic understanding,1
billing collections,1
must travel,1
be travel,1
must_have communication,1
work recovery,1
ensure asset,1
work schedules,1
including clients,1
working clients,1
perform job,1
can research,1
explaining court,1
related property,3
would hearings,1
include hearings,1
interfacing counsel,1
s attorney,1
ll location,1
ta monica,1
united_states organisation,1
researching infringements,1
recommending matters,1
take action,1
conducting take,1
drafting c,1
assisting oppositions,1
assisting assignment,1
ip team,1
communicating director,1
includes performance,1
trademark law,1
complicated trademark,1
resulting disputes,1
web_based investigation,1
sound computer,1
including trademark,2
word_processing powerpoint,1
excel candidate,1
must judgment,1
exercise judgment,1
be time,1
work time,1
have project,1
be pro_active,2
drafting trademark,1
related documents,1
licenses experience,1
is experience,2
supervising paralegals,1
is juris,1
pending fluent,1
written fluency,1
is bull,1
is equal_opportunity,3
will consideration,1
receive consideration,1
protected state,1
drafting acquisition,1
include agreements,2
including location,1
marketing matters,1
evaluating rights,1
advertising promotion,1
including oversight,1
impacting business,1
identify business,1
resolve business,1
on_going counsel,1
will areas,1
work areas,1
will develop,1
be develop,1
write guidance,1
conduct tasks,1
relevant attorneys,1
practicing attorneys,1
manage editors,1
ensure delivery,1
deliver compelling,1
concerning content,1
delivering marketing,1
customer_facing marketing,1
messaging marketing,1
must attorney,1
be attorney,1
performed attorney,1
supervising attorney,1
include instructing,1
supervising students,1
finding patent,1
completing patent,1
mentored supervision,1
interviewing clients,1
assessing inventions,1
writing prototype,1
searching patents,2
preparing novelty,1
reviewing novelty,1
based search,1
preparing claim,1
preparing patent,1
reviewing patent,1
preparing inventor,1
reviewing inventor,1
including search,1
completing case,1
introducing concepts,1
relating in_class,1
as_needed docket,1
according docket,1
formulate strategy,1
researching law,1
analyzing law,1
writing briefs,1
supervising lawyer,1
synthesizing research,1
written memorandum,1
appearing court,1
s client,4
presenting arguments,1
reasoned arguments,1
analyzing documents,1
summarizing documents,1
including contracts,3
suggesting alterations,1
performing discovery,1
stored data,1
negotiating parties,1
including settlement,1
anticipating problems,1
mitigating problems,1
avoid litigation,1
reduce areas,1
handling insurance,1
ca standing,1
bar standing,1
well_versed aspects,1
including depositions,1
dealing range,1
is forms,1
advise management,2
regarding matters,1
leveraging specialty,1
building business,1
counseling clients,1
regarding issues,2
on_air property,1
on_line property,1
programming property,1
including property,2
will range,1
be range,1
relating development,2
programming drafting,1
including drafting,2
negotiating contracts,2
co production,1
review r,1
propose actions,1
protecting group,1
concerning matters,1
associated finance,1
ie bonds,1
leave financing,1
lease financing,1
may support,1
include support,1
involving development,1
reviewing agreements,3
related distribution,1
donating vehicles,1
fleet customers,1
support marketing,1
drafting support,1
is developing,2
handling export,1
advanced technology,1
required membership,1
including risk,1
spotting negotiating,1
drafting contracts,2
advising compliance,1
developing expertise,1
working procurement,1
marketing groups,1
export import,1
is qualifications,1
provided qualifications,1
are customer,1
met customer,1
written communication,5
solving problems,1
demonstrated experience,2
creating workflow,1
working part,1
is relocation,1
ca television,1
is television,1
looking television,1
handle development,1
scripted series,1
selected m,2
including preparation,7
structuring license,1
drafting license,1
negotiating license,1
include law,1
top office,1
is attorney,2
seeking attorney,1
assigned portfolios,2
including patent,3
associated diligence,1
related company,1
eg publication,1
affecting portfolio,1
including collaboration,1
licensing collaboration,1
associated agreements,1
related patent,1
licensing patent,1
m patent,1
operate issues,1
iv support,1
may plans,1
include plans,1
are plans,1
limited plans,1
is reduction,1
subjected reduction,1
will preparation,2
insured coverage,1
regarding coverage,1
responding office,1
associated process,1
involving processing,1
associated clients,2
support ip,1
help changes,1
identify changes,1
monitor changes,1
affecting company,1
is changes,1
pending changes,1
focused real_estate,1
supporting functions,1
required aviation,1
s capital,1
is subsidiary,1
update lps,1
is proof,1
received proof,1
be court,1
filed court,1
filed objection,2
agreed con,1
set order,1
was processing,1
granted processing,1
hearing processing,1
received bankruptcy,1
send notice,1
have order,1
failed order,1
comply order,1
reviewing plans,1
filed debtor,1
responding requests,1
regarding documentation,1
contacting debtor,1
regarding intent,1
will trial,1
serve trial,1
supervising administration,1
performing duties,1
precedent cases,1
develop background,1
br qualifications,1
br attorney,1
licensed attorney,1
graduated law,1
work team,3
br communicator,1
please resume,3
ensure resume,1
includes name,1
include advice,1
are advice,1
limited advice,1
involving immigration,1
related adjudications,1
based employment,1
based issues,1
citizenship refugee,1
attending hearings,2
arguing hearings,2
writing trial,2
defending products,1
must member,2
be member,2
are litigation,1
ca resume,2
continue resume,2
reading resume,2
submit resume,2
e_mail resume,2
fill director,1
creating pool,1
maintaining pool,1
work department,2
established law,2
evaluating reports,2
submitted law_enforcement,2
using judgement,2
deciding matter,2
proceed matter,2
given matter,2
conducting investigation,2
directing investigation,2
may prosecute,2
be prosecute,2
competently prosecute,2
defend actions,3
preparing evidence,2
presenting evidence,2
pertaining recovery,1
analyzes application,1
determine claim,1
are functions,1
limited functions,1
determine jurisdiction,1
harms facts,1
is rights,1
warranted rights,1
applying rights,1
will counsel,1
include counsel,1
providing services,3
assigned business_unit,1
is california,1
representing california,1
in_state courts,1
compel arbitration,1
vacate arbitration,1
concerning employer,1
representing hr,2
challenging lawfulness,1
participating labor,1
pursuant memoranda,1
existing memoranda,1
understanding hr,1
regarding state,1
prepare documents,1
s fire,1
s programs,1
promote greenhouse,1
will regulations,1
be regulations,1
promulgating regulations,1
authorized knox,1
interpreting act,1
researching state,1
pending legislation,1
ensuring department,1
managed care,1
is compliance,1
established state,1
handles motions,1
s bench,1
promotes practice,1
interacting state,1
litigants members,1
engaged practice,1
reviewing work,1
include commission,1
consulting commission,1
advising commission,2
related operations,1
lottery operations,1
serving lottery,1
affecting lottery,2
including compacts,1
related compacts,1
gaming compacts,1
multi_state agreements,1
gaming agreements,1
real_estate audits,1
purchasing audits,1
analyzing strategy,1
participating negotiations,1
directed resolution,1
providing briefings,1
reviewing opinions,1
ensuring lottery,2
including bagley,1
act reform,1
act resource,1
serving resource,1
lottery contract,1
regarding lottery,1
coordinating director,1
are privacy,1
met privacy,1
are attorney,2
protected attorney,1
communicating attorney,1
applying position,1
will skills,1
have skills,1
deal issues,1
accomplished communication,1
management_skills ability,1
handle projects,1
work priorities,1
establish priorities,1
should applicants,1
apply applicants,1
must_have list,1
be state,1
has transfer,1
may house,1
be house,1
assigned house,1
provides house,1
involved employee,1
resolving employee,1
covering range,1
including ownership,1
maintaining ownership,1
litigated files,1
involving exposures,1
assist service,1
progressive participating,1
be counsel,1
handled counsel,1
assisting management,1
making decisions,1
regarding manner,1
address litigation,1
handling variety,1
follows staff,1
ssa gathers,1
analyzes recovery,1
performs range,1
is researches,1
involved researches,1
regarding suits,1
filing department,1
responds correspondence,1
reviews analyzes,1
responds variety,1
written requests,1
represents individuals,1
disciplinary hearings,1
regarding bargaining,1
write review,1
analyzes applies,1
advises officers,1
work hours,1
including evenings,1
accredited bar,1
will qualifications,1
possess qualifications,1
establish rapport,1
maintain rapport,1
is communication,1
listen issue,1
apply information,1
submit information,1
including cover_letter,1
performed staff,1
includes employee,1
handling employee,1
reviewing form,1
attending interviews,1
determining statute,1
assisting investigators,1
advising investigation,1
may charge,1
be charge,1
required charge,1
sustain charge,1
reviewing evidence,1
assisting preparing,2
drafting preparing,1
presenting notice,1
assisting staff,1
relative actions,1
hearing actions,1
assuring actions,1
control board,1
exercises adjudicatory,1
including drinking,1
are employee,1
required employee,1
scope description,1
help mission,1
achieve mission,1
being low_cost,1
ensure niagara,1
will role,3
function role,3
supporting counsel,3
include insurers,1
ranging coverage,1
including diligence,1
manage diligence,1
include development,2
dispute resolution,1
implement company,2
s property,2
written agreements,2
analyze variety,2
including license,3
including software,2
consulting agreements,2
located property,2
wide_ranging property,2
arising connection,4
establish policies,2
guide use,2
improve discovery,1
including preservation,1
emerging issues,1
providing claim,1
counseling patent,1
assigned bachelor,1
requires bachelor,1
may compliance,1
be compliance,1
assigned compliance,2
affecting travel,1
may regulators,1
include regulators,1
interfacing regulators,1
manage projects,1
defining scope,1
setting milestones,1
delegating tasks,1
tracking progress,1
ensure implementation,1
manage governance,1
consisting coordination,1
may business,1
include business,2
advise business,3
funded heath,1
hipaa privacy,1
ii draft,1
review range,1
iii litigation,1
impacts results,1
including discrimination,1
drafting position,1
conducting interviews,1
counseling experience,1
is defense,1
required defense,1
must_have research,1
counseling employers,1
drafting workplace,1
assisting clients,1
are labor,1
require activities,1
carrying pounds,1
lifting pounds,1
hearing standing,1
seeing standing,1
walking stairs,1
including stairs,1
including interaction,1
involved engagement,1
identify research,1
organize information,1
assess appropriateness,1
facilitate data,1
including statements,1
reviewing statements,1
analyzing statements,1
assessing business,1
modeling accounting,1
determine appropriateness,1
accepted accounting,1
reviewing ratio,1
understanding ratio,1
creating work,1
is others,1
participate investigations,1
interviewing subjects,1
analyzing information,1
written analyses,1
quantitative exhibits,1
regarding project,1
performed paper,1
working paper,1
reflecting assumptions,1
employed performance,1
participate client,1
review results,1
performed image,1
maintain image,1
structuring drafting,1
negotiating rights,1
assigned skills,1
preferred knowledge,1
including jurisdictions,1
are communicator,1
based communicator,1
can conclusions,1
communicate conclusions,1
can management,1
confidently management,1
reporting risk_management,1
will years,2
have years,2
preferred juris,1
must_have juris,1
ca state,1
received error,1
working environment,2
management_skills understanding,1
build world,1
related claims,1
resolving issues,1
negotiating settlements,1
including structuring,1
including redaction,1
making redaction,1
assisting witness,1
reviewing types,1
extract information,1
reviewing record,1
revising record,1
e data,1
eg database,1
performing database,1
batching documents,1
preparing status,1
ensure agreements,1
are policies,1
processes partner,1
ensure customer,1
assist employment,1
workforce_restructuring activities,1
determine strategy,1
formulating policies,1
are growth,1
demand letters,1
eeoc dol,1
will resource,1
be resource,1
providing compliance,1
e_commerce employment,1
keep abreast,1
understand implications,1
include co_ordinate,1
regarding workflow,1
ensure needs,2
